Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],FG822-1 [m],FG822-1_corrected [m]
21/10/2014 00:00:00,10.1623,,144.3231,144.3625
21/10/2014 00:15:00,10.167,,144.322,144.3629
21/10/2014 00:30:00,10.1698,,144.3215,144.363
21/10/2014 00:45:00,10.1733,,144.3211,144.3643
21/10/2014 01:00:00,10.1764,,144.3209,144.3647
21/10/2014 01:15:00,10.179,,144.3206,144.3661
21/10/2014 01:30:00,10.1811,,144.3203,144.3663
21/10/2014 01:45:00,10.1828,,144.3198,144.3672
21/10/2014 02:00:00,10.1844,,144.3193,144.3669
21/10/2014 02:15:00,10.1863,,144.3193,144.3681
21/10/2014 02:30:00,10.1878,,144.3186,144.3674
21/10/2014 02:45:00,10.1882,,144.3175,144.3668
21/10/2014 03:00:00,10.1882,,144.3181,144.3672
21/10/2014 03:15:00,10.1883,,144.3186,144.3675
21/10/2014 03:30:00,10.1881,,144.3185,144.367
21/10/2014 03:45:00,10.1877,,144.3197,144.3674
21/10/2014 04:00:00,10.1869,,144.3196,144.3665
21/10/2014 04:15:00,10.1855,,144.3209,144.3667
21/10/2014 04:30:00,10.1837,,144.3222,144.3669
21/10/2014 04:45:00,10.1814,,144.3237,144.3667
21/10/2014 05:00:00,10.1786,,144.3245,144.3662
21/10/2014 05:15:00,10.1756,,144.3259,144.3654
21/10/2014 05:30:00,10.1722,,144.3275,144.3655
21/10/2014 05:45:00,10.1681,,144.3288,144.3643
21/10/2014 06:00:00,10.164,,144.3298,144.3634
21/10/2014 06:15:00,10.161,,144.3316,144.3628
21/10/2014 06:30:00,10.1582,,144.3331,144.3623
21/10/2014 06:45:00,10.1546,,144.3342,144.3611
21/10/2014 07:00:00,10.151,,144.3355,144.3605
21/10/2014 07:15:00,10.1475,,144.3366,144.3595
21/10/2014 07:30:00,10.1445,,144.3383,144.3593
21/10/2014 07:45:00,10.1429,,144.3397,144.3592
21/10/2014 08:00:00,10.1412,,144.3412,144.3589
21/10/2014 08:15:00,10.1374,,144.3417,144.3582
21/10/2014 08:30:00,10.1336,,144.3438,144.3585
21/10/2014 08:45:00,10.1317,,144.3443,144.3583
21/10/2014 09:00:00,10.1303,,144.3449,144.3574
21/10/2014 09:15:00,10.1284,,144.3436,144.3556
21/10/2014 09:30:00,10.1272,,144.3466,144.3573
21/10/2014 09:45:00,10.1282,,144.3428,144.3539
21/10/2014 10:00:00,10.13,,144.3439,144.3543
21/10/2014 10:15:00,10.1319,,144.3436,144.3546
21/10/2014 10:30:00,10.1336,,144.342,144.353
21/10/2014 10:45:00,10.1343,,144.3414,144.353
21/10/2014 11:00:00,10.1349,,144.3411,144.353
21/10/2014 11:15:00,10.1361,,144.3403,144.3531
21/10/2014 11:30:00,10.1377,,144.3428,144.356
21/10/2014 11:45:00,10.1403,,144.3408,144.3553
21/10/2014 12:00:00,10.1424,,144.3394,144.3545
21/10/2014 12:15:00,10.142,,144.3386,144.3545
21/10/2014 12:30:00,10.1414,,144.3373,144.3539
21/10/2014 12:45:00,10.1424,,144.3365,144.3538
21/10/2014 13:00:00,10.1441,,144.3356,144.3536
21/10/2014 13:15:00,10.146,,144.3354,144.3539
21/10/2014 13:30:00,10.148,,144.3354,144.3549
21/10/2014 13:45:00,10.1498,,144.3343,144.3544
21/10/2014 14:00:00,10.1513,,144.3339,144.3548
21/10/2014 14:15:00,10.1517,,144.3334,144.3547
21/10/2014 14:30:00,10.1521,,144.3331,144.355
21/10/2014 14:45:00,10.1535,,144.3325,144.3549
21/10/2014 15:00:00,10.1549,,144.3317,144.3544
21/10/2014 15:15:00,10.1556,,144.3315,144.3547
21/10/2014 15:30:00,10.1563,,144.3319,144.3553
21/10/2014 15:45:00,10.1582,,144.3322,144.3563
21/10/2014 16:00:00,10.1595,,144.3322,144.3565
21/10/2014 16:15:00,10.1581,,144.332,144.3562
21/10/2014 16:30:00,10.1561,,144.3316,144.3559
21/10/2014 16:45:00,10.1547,,144.3316,144.3555
21/10/2014 17:00:00,10.1539,,144.3316,144.3553
21/10/2014 17:15:00,10.1542,,144.3325,144.3559
21/10/2014 17:30:00,10.1549,,144.3331,144.3563
21/10/2014 17:45:00,10.1555,,144.3333,144.3564
21/10/2014 18:00:00,10.1554,,144.3339,144.3568
21/10/2014 18:15:00,10.1532,,144.3352,144.3575
21/10/2014 18:30:00,10.1508,,144.3359,144.3579
21/10/2014 18:45:00,10.15,,144.3364,144.3579
21/10/2014 19:00:00,10.1496,,144.3368,144.3581
21/10/2014 19:15:00,10.1485,,144.3367,144.3576
21/10/2014 19:30:00,10.1475,,144.3376,144.3585
21/10/2014 19:45:00,10.147,,144.3376,144.3581
21/10/2014 20:00:00,10.1466,,144.3374,144.358
21/10/2014 20:15:00,10.1464,,144.3373,144.3576
21/10/2014 20:30:00,10.1461,,144.338,144.3584
21/10/2014 20:45:00,10.1455,,144.3389,144.3593
21/10/2014 21:00:00,10.1448,,144.3378,144.3583
21/10/2014 21:15:00,10.1441,,144.3375,144.3581
21/10/2014 21:30:00,10.1436,,144.3369,144.3579
21/10/2014 21:45:00,10.1437,,144.3358,144.3569
21/10/2014 22:00:00,10.1442,,144.3344,144.3562
21/10/2014 22:15:00,10.1453,,144.3342,144.3567
21/10/2014 22:30:00,10.1467,,144.3326,144.356
21/10/2014 22:45:00,10.1481,,144.332,144.3561
21/10/2014 23:00:00,10.1495,,144.3314,144.3567
21/10/2014 23:15:00,10.1511,,144.3305,144.3568
21/10/2014 23:30:00,10.1525,,144.3301,144.3576
21/10/2014 23:45:00,10.1532,,144.329,144.3574
22/10/2014 00:00:00,10.1538,,144.3283,144.3577
22/10/2014 00:15:00,10.1544,,144.3275,144.3577
22/10/2014 00:30:00,10.1555,,144.3264,144.3576
22/10/2014 00:45:00,10.158,,144.3267,144.3589
22/10/2014 01:00:00,10.1606,,144.327,144.3602
22/10/2014 01:15:00,10.1623,,144.3269,144.3611
22/10/2014 01:30:00,10.1633,,144.3269,144.3618
22/10/2014 01:45:00,10.1634,,144.3274,144.3627
22/10/2014 02:00:00,10.1633,,144.3277,144.3635
22/10/2014 02:15:00,10.1645,,144.3289,144.3652
22/10/2014 02:30:00,10.1651,,144.3291,144.3654
22/10/2014 02:45:00,10.163,,144.3297,144.3658
22/10/2014 03:00:00,10.1605,,144.3306,144.3663
22/10/2014 03:15:00,10.1598,,144.3311,144.3663
22/10/2014 03:30:00,10.1592,,144.3312,144.3656
22/10/2014 03:45:00,10.1577,,144.332,144.3652
22/10/2014 04:00:00,10.1561,,144.3319,144.364
22/10/2014 04:15:00,10.1549,,144.3331,144.3641
22/10/2014 04:30:00,10.1539,,144.3341,144.3639
22/10/2014 04:45:00,10.1531,,144.3348,144.3633
22/10/2014 05:00:00,10.152,,144.3357,144.363
22/10/2014 05:15:00,10.1496,,144.3372,144.363
22/10/2014 05:30:00,10.1468,,144.3392,144.3633
22/10/2014 05:45:00,10.1446,,144.3396,144.3621
22/10/2014 06:00:00,10.1423,,144.3419,144.3627
22/10/2014 06:15:00,10.1395,,144.3428,144.3619
22/10/2014 06:30:00,10.1366,,144.3446,144.3618
22/10/2014 06:45:00,10.134,,144.3459,144.3613
22/10/2014 07:00:00,10.1311,,144.347,144.3606
22/10/2014 07:15:00,10.1269,,144.3486,144.3601
22/10/2014 07:30:00,10.1229,,144.3494,144.3589
22/10/2014 07:45:00,10.1206,,144.3511,144.3589
22/10/2014 08:00:00,10.1188,,144.3527,144.3588
22/10/2014 08:15:00,10.1163,,144.3533,144.3579
22/10/2014 08:30:00,10.114,,144.3551,144.3583
22/10/2014 08:45:00,10.1128,,144.3564,144.3585
22/10/2014 09:00:00,10.1115,,144.3578,144.3589
22/10/2014 09:15:00,10.1089,,144.3584,144.3583
22/10/2014 09:30:00,10.1063,,144.3589,144.3579
22/10/2014 09:45:00,10.1047,,144.3604,144.3586
22/10/2014 10:00:00,10.1035,,144.3612,144.3586
22/10/2014 10:15:00,10.1027,,144.362,144.3589
22/10/2014 10:30:00,10.102,,144.3624,144.3588
22/10/2014 10:45:00,10.1006,,144.3623,144.3583
22/10/2014 11:00:00,10.0993,,144.3627,144.3584
22/10/2014 11:15:00,10.0988,,144.3625,144.358
22/10/2014 11:30:00,10.0988,,144.3628,144.3581
22/10/2014 11:45:00,10.0997,,144.3624,144.358
22/10/2014 12:00:00,10.1009,,144.3616,144.3575
22/10/2014 12:15:00,10.1019,,144.3606,144.3569
22/10/2014 12:30:00,10.1029,,144.3598,144.3566
22/10/2014 12:45:00,10.1041,,144.3589,144.3563
22/10/2014 13:00:00,10.1056,,144.3573,144.3551
22/10/2014 13:15:00,10.1078,,144.3562,144.3548
22/10/2014 13:30:00,10.1103,,144.3548,144.354
22/10/2014 13:45:00,10.1126,,144.3536,144.3537
22/10/2014 14:00:00,10.1149,,144.3523,144.3532
22/10/2014 14:15:00,10.1173,,144.3505,144.3522
22/10/2014 14:30:00,10.1198,,144.3491,144.3517
22/10/2014 14:45:00,10.1221,,144.3478,144.3511
22/10/2014 15:00:00,10.1246,,144.3467,144.3507
22/10/2014 15:15:00,10.128,,144.3459,144.3508
22/10/2014 15:30:00,10.1312,,144.3448,144.3504
22/10/2014 15:45:00,10.1328,,144.3443,144.3505
22/10/2014 16:00:00,10.1337,,144.344,144.3507
22/10/2014 16:15:00,10.1343,,144.3427,144.3498
22/10/2014 16:30:00,10.1347,,144.3417,144.3493
22/10/2014 16:45:00,10.1356,,144.3418,144.3497
22/10/2014 17:00:00,10.1364,,144.3412,144.3493
22/10/2014 17:15:00,10.137,,144.34,144.3481
