Datetime [UTC+0.00],Baro [m],Earth tides [nstr],BLM-1 [m],BLM-1_corrected [m]
25/06/2009 22:00:00,9.49478567,45.82262742456506,5.09169882,5.1347
25/06/2009 22:15:00,9.49344144,45.72346884726008,5.09126361,5.1326
25/06/2009 22:30:00,9.49047334,45.15198557837435,5.09704863,5.1328
25/06/2009 22:45:00,9.48966183,44.11490635635299,5.09706691,5.1326
25/06/2009 23:00:00,9.49095627,42.62541564263877,5.09875924,5.1327
25/06/2009 23:15:00,9.48966183,40.702955206393156,5.10311066,5.1328
25/06/2009 23:30:00,9.48931249,38.372926509832936,5.10710491,5.133
25/06/2009 23:45:00,9.48764298,35.666298767470664,5.1124737,5.1332
26/06/2009 00:00:00,9.48581914,32.619130939751166,5.11559541,5.1335
26/06/2009 00:15:00,9.48495785,29.27200523596069,5.12398397,5.1337
26/06/2009 00:30:00,9.48336882,25.6694071474123,5.12925221,5.134
26/06/2009 00:45:00,9.48192004,21.859028990516503,5.13523761,5.1342
26/06/2009 01:00:00,9.48351071,17.89103326432863,5.14124058,5.1343
26/06/2009 01:15:00,9.48024141,13.817278517564876,5.14841842,5.1344
26/06/2009 01:30:00,9.4836526,9.690522266852264,5.1533302,5.1344
26/06/2009 01:45:00,9.48010616,5.563614269149333,5.16026406,5.1344
26/06/2009 02:00:00,9.48447408,1.4886935531005867,5.16455853,5.1343
26/06/2009 02:15:00,9.48455458,-2.4835975246601354,5.17183409,5.1342
26/06/2009 02:30:00,9.48371899,-6.304869307284857,5.17612786,5.134
26/06/2009 02:45:00,9.48539845,-9.929698660932226,5.18082098,5.1339
26/06/2009 03:00:00,9.4862108,-13.316289121000091,5.18439759,5.1337
26/06/2009 03:15:00,9.49025096,-16.427066901430887,5.18940921,5.1335
26/06/2009 03:30:00,9.48903368,-19.229203494776513,5.19306668,5.1334
26/06/2009 03:45:00,9.49247641,-21.695056929075776,5.1957117,5.1333
26/06/2009 04:00:00,9.49066418,-23.80252520986699,5.19893255,5.1332
26/06/2009 04:15:00,9.49238016,-25.535307032991525,5.20101862,5.1333
26/06/2009 04:30:00,9.49535572,-26.883066476175127,5.20244729,5.1334
26/06/2009 04:45:00,9.49298673,-27.841500034002614,5.20451789,5.1337
26/06/2009 05:00:00,9.49183998,-28.41230602122142,5.20547058,5.1341
26/06/2009 05:15:00,9.49501884,-28.603058003315066,5.2043161,5.1347
26/06/2009 05:30:00,9.49603697,-28.42698549234277,5.20414033,5.1355
26/06/2009 05:45:00,9.49842091,-27.902666643216655,5.20387456,5.1364
26/06/2009 06:00:00,9.49872046,-27.053639076331528,5.20065934,5.1376
26/06/2009 06:15:00,9.50287016,-25.90793621482731,5.19927917,5.1394
26/06/2009 06:30:00,9.50244946,-24.497557639911456,5.19631987,5.1391
26/06/2009 06:45:00,9.50158649,-22.85788291992752,5.19306668,5.1383
26/06/2009 07:00:00,9.5011741,-21.027039146078742,5.1916373,5.1394
26/06/2009 07:15:00,9.50097909,-19.04523300120781,5.18869136,5.1395
26/06/2009 07:30:00,9.5011741,-16.9540585926304,5.1861068,5.14
26/06/2009 07:45:00,9.50300208,-14.795792494071991,5.18227356,5.1403
26/06/2009 08:00:00,9.49904074,-12.612687466806761,5.1800068,5.1403
26/06/2009 08:15:00,9.50040987,-10.446276171000232,5.17756849,5.1414
26/06/2009 08:30:00,9.49970955,-8.336695842549076,5.17394266,5.1409
26/06/2009 08:45:00,9.50202047,-6.322044408754484,5.16958913,5.1404
26/06/2009 09:00:00,9.50509229,-4.437777860385127,5.16602799,5.1412
26/06/2009 09:15:00,9.50318381,-2.7161579026874287,5.16346734,5.1412
26/06/2009 09:30:00,9.50638589,-1.1857579897091906,5.16040327,5.1416
26/06/2009 09:45:00,9.50795832,0.12896517767218296,5.1586336,5.143
26/06/2009 10:00:00,9.50827031,1.2080287211393819,5.15816394,5.1447
26/06/2009 10:15:00,9.50850016,2.036204433075197,5.15495715,5.1433
26/06/2009 10:30:00,9.50982779,2.603219844587423,5.15370424,5.1436
26/06/2009 10:45:00,9.50672776,2.9038772149384355,5.15336817,5.1432
26/06/2009 11:00:00,9.50879057,2.938089416102954,5.15283241,5.1435
26/06/2009 11:15:00,9.50951331,2.710832952067113,5.15294983,5.1438
26/06/2009 11:30:00,9.50804876,2.232019594635041,5.15314458,5.1432
26/06/2009 11:45:00,9.50832176,1.5162893194775726,5.15414086,5.1434
26/06/2009 12:00:00,9.51203334,0.5827283726024926,5.15470052,5.144
26/06/2009 12:15:00,9.51176947,-0.5454826258583363,5.15629442,5.1446
26/06/2009 12:30:00,9.51486038,-1.8414846394329807,5.15632676,5.1441
26/06/2009 12:45:00,9.5165863,-3.2752134334163987,5.15733851,5.1443
