Datetime [UTC+0.00],Baro [m],Earth tides [nstr],BLM-1 [m],BLM-1_corrected [m]
25/06/2009 22:00:00,9.49478567,-46.07493931,5.09169882,5.1343
25/06/2009 22:15:00,9.49344144,-45.96250276,5.09126361,5.132
25/06/2009 22:30:00,9.49047334,-45.3823525,5.09704863,5.1325
25/06/2009 22:45:00,9.48966183,-44.34156823,5.09706691,5.1323
25/06/2009 23:00:00,9.49095627,-42.85350459,5.09875924,5.1325
25/06/2009 23:15:00,9.48966183,-40.93758654,5.10311066,5.1326
25/06/2009 23:30:00,9.48931249,-38.6190121,5.10710491,5.1329
25/06/2009 23:45:00,9.48764298,-35.92836767,5.1124737,5.1332
26/06/2009 00:00:00,9.48581914,-32.90116374,5.11559541,5.1335
26/06/2009 00:15:00,9.48495785,-29.57728808,5.12398397,5.1338
26/06/2009 00:30:00,9.48336882,-26.00041078,5.12925221,5.134
26/06/2009 00:45:00,9.48192004,-22.21731722,5.13523761,5.1342
26/06/2009 01:00:00,9.48351071,-18.27720409,5.14124058,5.1344
26/06/2009 01:15:00,9.48024141,-14.23094013,5.14841842,5.1345
26/06/2009 01:30:00,9.4836526,-10.13030473,5.1533302,5.1345
26/06/2009 01:45:00,9.48010616,-6.02721648,5.16026406,5.1345
26/06/2009 02:00:00,9.48447408,-1.97296376,5.16455853,5.1344
26/06/2009 02:15:00,9.48455458,1.98255059,5.17183409,5.1342
26/06/2009 02:30:00,9.48371899,5.79153862,5.17612786,5.1341
26/06/2009 02:45:00,9.48539845,9.40901957,5.18082098,5.1339
26/06/2009 03:00:00,9.4862108,12.79346404,5.18439759,5.1336
26/06/2009 03:15:00,9.49025096,15.90738056,5.18940921,5.1335
26/06/2009 03:30:00,9.48903368,18.71783522,5.19306668,5.1333
26/06/2009 03:45:00,9.49247641,21.19689685,5.1957117,5.1332
26/06/2009 04:00:00,9.49066418,23.3220009,5.19893255,5.1331
26/06/2009 04:15:00,9.49238016,25.07622683,5.20101862,5.1332
26/06/2009 04:30:00,9.49535572,26.44848507,5.20244729,5.1333
26/06/2009 04:45:00,9.49298673,27.43361111,5.20451789,5.1336
26/06/2009 05:00:00,9.49183998,28.03236576,5.20547058,5.1341
26/06/2009 05:15:00,9.49501884,28.25134214,5.2043161,5.1346
26/06/2009 05:30:00,9.49603697,28.10278136,5.20414033,5.1354
26/06/2009 05:45:00,9.49842091,27.6043005,5.20387456,5.1363
26/06/2009 06:00:00,9.49872046,26.77853766,5.20065934,5.1375
26/06/2009 06:15:00,9.50287016,25.6527202,5.19927917,5.1393
26/06/2009 06:30:00,9.50244946,24.25816372,5.19631987,5.1389
26/06/2009 06:45:00,9.50158649,22.62971,5.19306668,5.1381
26/06/2009 07:00:00,9.5011741,20.80511345,5.1916373,5.1392
26/06/2009 07:15:00,9.50097909,18.82438621,5.18869136,5.1393
26/06/2009 07:30:00,9.5011741,16.72911255,5.1861068,5.1398
26/06/2009 07:45:00,9.50300208,14.56174399,5.18227356,5.1401
26/06/2009 08:00:00,9.49904074,12.36488647,5.1800068,5.1401
26/06/2009 08:15:00,9.50040987,10.1805912,5.17756849,5.1412
26/06/2009 08:30:00,9.49970955,8.0496606,5.17394266,5.1408
26/06/2009 08:45:00,9.50202047,6.01098051,5.16958913,5.1403
26/06/2009 09:00:00,9.50509229,4.10088931,5.16602799,5.1411
26/06/2009 09:15:00,9.50318381,2.35259398,5.16346734,5.1412
26/06/2009 09:30:00,9.50638589,0.7956424,5.16040327,5.1416
26/06/2009 09:45:00,9.50795832,-0.54453997,5.1586336,5.143
26/06/2009 10:00:00,9.50827031,-1.6470417,5.15816394,5.1448
26/06/2009 10:15:00,9.50850016,-2.49577934,5.15495715,5.1434
26/06/2009 10:30:00,9.50982779,-3.07972898,5.15370424,5.1437
26/06/2009 10:45:00,9.50672776,-3.39307203,5.15336817,5.1433
26/06/2009 11:00:00,9.50879057,-3.43525328,5.15283241,5.1436
26/06/2009 11:15:00,9.50951331,-3.2109506,5.15294983,5.144
26/06/2009 11:30:00,9.50804876,-2.72995737,5.15314458,5.1434
26/06/2009 11:45:00,9.50832176,-2.00697968,5.15414086,5.1436
26/06/2009 12:00:00,9.51203334,-1.06135224,5.15470052,5.1442
26/06/2009 12:15:00,9.51176947,0.08332226,5.15629442,5.1447
26/06/2009 12:30:00,9.51486038,1.39960391,5.15632676,5.1442
26/06/2009 12:45:00,9.5165863,2.85670934,5.15733851,5.1443
26/06/2009 13:00:00,9.51930049,4.42106,5.15873133,5.1449
26/06/2009 13:15:00,9.51994936,6.05687595,5.15939083,5.1439
26/06/2009 13:30:00,9.51969462,7.72680503,5.16046585,5.143
26/06/2009 13:45:00,9.52455543,9.39257733,5.16187273,5.1436
26/06/2009 14:00:00,9.52513462,11.01567382,5.16518358,5.1456
26/06/2009 14:15:00,9.52556112,12.5579984,5.16613275,5.1448
26/06/2009 14:30:00,9.52592787,13.9825421,5.16772032,5.1447
26/06/2009 14:45:00,9.52707794,15.25402886,5.16895143,5.1446
26/06/2009 15:00:00,9.52536364,16.33953213,5.17066134,5.1445
26/06/2009 15:15:00,9.52745051,17.20905224,5.17155637,5.1448
26/06/2009 15:30:00,9.52734098,17.83604547,5.17350604,5.1461
26/06/2009 15:45:00,9.52550303,18.1978958,5.17376618,5.1453
26/06/2009 16:00:00,9.52681988,18.27632214,5.17374017,5.1455
