Frequency [cpd],Components,Amplitude [m**2/s**2],Phase [rad]
0.893244,Q1,0.0037844450482602617,2.826992637668356
0.929536,O1,0.0064951073953382794,-2.514180110023133
0.966446,M1,0.015164552631024111,-2.9651649974201293
0.997262,P1,0.007072729601118979,-0.24675273523791502
1.0,S1,0.049651909697203594,2.0580920809244234
1.002738,K1,0.05212965217868214,0.09848271998301476
1.895982,N2,0.011642398874445573,-1.200637758328266
1.932274,M2,0.016323154617489278,0.006481765531056348
2.0,S2,0.07834069351018419,2.4404539791621915
2.005476,K2,0.015888322345807178,2.367873770997442
