Frequency [cpd],Components,Amplitude [m**2/s**2],Phase [rad]
0.893244,Q1,0.008249797760474301,1.0205755648148929
0.929536,O1,0.014311917543706644,3.0288129583082735
0.966446,M1,0.0151528086832882,-1.6980812246119237
0.997262,P1,0.09425004364311729,-2.736879773278268
1.0,S1,0.21014552397587513,1.096246204354173
1.002738,K1,0.08509417993733324,-1.6762862627616406
1.895982,N2,0.0072029739191815,2.742944526974502
1.932274,M2,0.004076721903475331,-1.301371838018183
2.0,S2,0.15622453667494415,2.9208853697259745
2.005476,K2,0.024694600073757685,0.9340827728095178
