Datetime [UTC-3.00],Baro [m],Earth tides [nm/s**2],GW [m],GW_corrected [m]
22/08/2017 00:43:00,10.358,,43.784,43.8026
22/08/2017 01:43:00,10.357,,43.785,43.8026
22/08/2017 02:43:00,10.352,,43.789,43.8022
22/08/2017 03:43:00,10.345,,43.794,43.8007
22/08/2017 04:43:00,10.343,,43.799,43.8001
22/08/2017 05:43:00,10.343,,43.803,43.7996
22/08/2017 06:43:00,10.346,,43.805,43.7997
22/08/2017 07:43:00,10.351,,43.803,43.7986
22/08/2017 08:43:00,10.356,,43.8,43.7991
22/08/2017 09:43:00,10.357,,43.795,43.7983
22/08/2017 10:43:00,10.352,,43.793,43.7996
22/08/2017 11:43:00,10.345,,43.791,43.7999
22/08/2017 12:43:00,10.337,,43.788,43.7974
22/08/2017 13:43:00,10.324,,43.791,43.7971
22/08/2017 14:43:00,10.317,,43.795,43.7975
22/08/2017 15:43:00,10.311,,43.799,43.7964
22/08/2017 16:43:00,10.308,,43.803,43.7958
22/08/2017 17:43:00,10.312,,43.805,43.7955
22/08/2017 18:43:00,10.315,,43.805,43.7945
22/08/2017 19:43:00,10.318,,43.803,43.7937
22/08/2017 20:43:00,10.32,,43.801,43.7946
22/08/2017 21:43:00,10.326,,43.795,43.7945
22/08/2017 22:43:00,10.325,,43.79,43.7939
22/08/2017 23:43:00,10.326,,43.785,43.7936
23/08/2017 00:43:00,10.323,,43.782,43.7925
23/08/2017 01:43:00,10.325,,43.78,43.7921
23/08/2017 02:43:00,10.321,,43.783,43.7921
23/08/2017 03:43:00,10.319,,43.786,43.7912
23/08/2017 04:43:00,10.317,,43.791,43.7908
23/08/2017 05:43:00,10.32,,43.795,43.7912
23/08/2017 06:43:00,10.324,,43.797,43.7906
23/08/2017 07:43:00,10.328,,43.797,43.7901
23/08/2017 08:43:00,10.334,,43.795,43.7904
23/08/2017 09:43:00,10.331,,43.793,43.7902
23/08/2017 10:43:00,10.326,,43.79,43.79
23/08/2017 11:43:00,10.317,,43.787,43.7886
