Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],Smith [m],Smith_corrected [m]
01/11/2015 00:00:00,10.1022,,85.665,85.673
01/11/2015 00:15:00,10.1038,,85.66,85.6692
01/11/2015 00:30:00,10.105,,85.659,85.6693
01/11/2015 00:45:00,10.106,,85.66,85.6712
01/11/2015 01:00:00,10.1075,,85.659,85.6711
01/11/2015 01:15:00,10.1111,,85.659,85.672
01/11/2015 01:30:00,10.1144,,85.659,85.6731
01/11/2015 01:45:00,10.1146,,85.658,85.672
01/11/2015 02:00:00,10.1142,,85.659,85.6734
01/11/2015 02:15:00,10.1153,,85.659,85.6731
01/11/2015 02:30:00,10.1163,,85.658,85.6726
01/11/2015 02:45:00,10.116,,85.662,85.6758
01/11/2015 03:00:00,10.1156,,85.662,85.6757
01/11/2015 03:15:00,10.1161,,85.664,85.6771
01/11/2015 03:30:00,10.1164,,85.661,85.6735
01/11/2015 03:45:00,10.1155,,85.659,85.6704
01/11/2015 04:00:00,10.1148,,85.662,85.6722
01/11/2015 04:15:00,10.1159,,85.66,85.6694
01/11/2015 04:30:00,10.1171,,85.661,85.6691
01/11/2015 04:45:00,10.1168,,85.665,85.6716
01/11/2015 05:00:00,10.1159,,85.667,85.6716
01/11/2015 05:15:00,10.1151,,85.667,85.6702
01/11/2015 05:30:00,10.1142,,85.668,85.6689
01/11/2015 05:45:00,10.1132,,85.669,85.6683
01/11/2015 06:00:00,10.1118,,85.668,85.6654
01/11/2015 06:15:00,10.1092,,85.669,85.6646
01/11/2015 06:30:00,10.1069,,85.672,85.6658
01/11/2015 06:45:00,10.1065,,85.67,85.6625
01/11/2015 07:00:00,10.1063,,85.671,85.6621
01/11/2015 07:15:00,10.1047,,85.671,85.6611
01/11/2015 07:30:00,10.1029,,85.668,85.6566
01/11/2015 07:45:00,10.1017,,85.666,85.6539
01/11/2015 08:00:00,10.1012,,85.666,85.6531
01/11/2015 08:15:00,10.1023,,85.666,85.6529
01/11/2015 08:30:00,10.1038,,85.667,85.6536
01/11/2015 08:45:00,10.1049,,85.671,85.6578
01/11/2015 09:00:00,10.1054,,85.671,85.6577
01/11/2015 09:15:00,10.1046,,85.671,85.658
01/11/2015 09:30:00,10.1032,,85.668,85.6552
01/11/2015 09:45:00,10.1011,,85.667,85.6546
01/11/2015 10:00:00,10.0999,,85.665,85.6532
01/11/2015 10:15:00,10.1026,,85.664,85.6536
01/11/2015 10:30:00,10.1057,,85.667,85.6583
01/11/2015 10:45:00,10.1062,,85.667,85.6594
