Frequency [cpd],Component,Amplitude [m],Phase [rad]
0.893244,Q1,0.0039096974806286525,-2.8401920247781782
0.929536,O1,0.020240482635672245,-2.5245315952741345
0.966446,M1,0.0011440333766127083,-0.7149267928508904
0.997262,P1,0.008196648943506007,-0.7266312756202973
1.0,S1,0.00840501461173726,0.44663957724321873
1.002738,K1,0.02331540292195868,-0.7207176368735965
1.895982,N2,0.0052049904770495896,-2.278535550630959
1.932274,M2,0.026213473218423333,-1.7719886706418129
2.0,S2,0.015454678643614841,-0.14022509731454424
2.005476,K2,0.004576483104777825,3.107165734852977
